aka,"cross-like shape, intersection, overlap [alternative form of natu]"
ako,"(general interjection, context-dependent)"
aku,"shocking, surprising, unexpected; sour, bitter, acidic"
alente,"the set of every possible human concept subtracted from the set of concepts already covered by established toki pona words weighted by their relative usage"
alu,"(between the main sentence and the context phrase)"
ana,"flowers, beauuty, most important part of something"
ani<br>(wi),"alternate pronoun/determiner system, wi can refer to things distant from both speaker and listener"
anta,"oil, fat, grease; slippery; salty, savory"
antikontitutonelema,"a big mess, anticonstitutionnellement, unconstitutionally"
apelo,"unwinding with friends over a drink/cocktail (or two)"
api,"bees and beelike insects"
awase,"bump, knock, jolt"
eki,"cross-like shape, intersection, overlap [alternative form of natu]"
elen,"region, portion, section; component, detail, element, ingredient; partial"
eliki,"trial, adversity; bittersweet"
ene,"fat, oil, fuel"
enepi,"NFT, scam, screenshot, monkey, JPEG, crypto, cryptocurrency"
eni,"fat, oil, fuel"
enko,"(spatial equivalents of tenpo constructions) space, place, distance, size (length, width, height, depth, area, volume)"
epikule,"epiku + kule"
i,"he, she, it, they [alternate form of ona]"
iki,"he, she, it, they [alternate form of ona]"
ipi,"he, she, it, they [alternate form of ona]"
iseki,"flower; adornment, accessory, garnish, spice; ornamental, aesthetic, beauty, flourish"
itomi,"Schadenfreude, indirect insult or disrespect, shade"
jaku,"one hundred"
jalan,"foot [alternate form of noka]"
jami,"yummy; eliciting or stimulating a positive sensory experience"
jans,"a particular group of early members of the ma pona Discord"
je,"[interjection] (indicating excitement)"
jonke,"goose, goose noise"
jule,"indeterminate, inconclusive, tentative; unpredictable, unstable, volatile; to waver; to vibrate, to tremble, to wobble, to shake"
jume,"dream"
kalapisituwi,"scam, utterly nonsensical, muddled and confused (often on purpose)"
kalijopilale,"member of the order Caryophyllales, including all cacti as well as carnations, beets, and many carnivorous plants"
kana,"dream; trance, hypnosis, hallucination; illusion, fantasy, imaginary; narrative, story, myth"
kankuli,"scrunkly"
kapa,"extrusion, protrusion, hill, mountain, button"
ki,"(relative clause marker)"
kijosin,"a sharp tool used in function of a political ideology, typically in a francophone environment; to use a sharp tool in function of a political ideology, typically in a francophone environment; goodbye"
kikolo,"funny / laughter, to laugh"
kikulo,"immature, kikoolol"
kisa,"cat"
kokoliko,"rooster, chicken, birds from the genus Gallus"
kolo,"pig"
koni<br>(ki),"alternate pronoun/determiner system, ki can refer to the speaker or things near them"
konsi,"to notify, to let know"
konwe,"animacy, life, autonomy; autonomous being, living thing, organism; alive, animate, dynamic; to animate, to bring to life"
kosan,"guard, protect, defend, shield, brace, fortify from outside"
kosikosa,"so-so / meso / sama pi lili taso"
kulaso,"green laso, glaso"
kulepiku,"kule + epiku"
kulu,"(shortened variant of kulupu); six (particularly in senary base)"
kutopoma,"the Korean group chat 'kulupu pi toki pona pi ma Anku'"
lansan,"slow, slowly, gentle, gently"
lato,"paper, flat object, surface"
lijokuku,"to agree (with laughter)"
lisana,"tongue, cheek, uvula, to lick, to taste"
lo,"(before the prepositional phrase)"
lokon,"{a compromise between lukin & oko}"
mamasi,"AAAAAAA MAMA SINA A A A A A A"
mamasina,"AAAAAAA MAMA SINA A A A A A A"
masalo,"gosh! arghhh! / (also: facepalm)"
masenta,"magenta"
masu,"divine, sacred, supernatural"
matula,"canine"
me,"anu seme"
melome,"sapphic, lesbian, wlw"
mijomi,"gay, mlm"
molusa,"a squishy animal, such as a snail, slug, or sponge"
nalanja,"orange (colour)"
natu,"relationship, correlation, commonality; cross, knot, junction, intersection; to overlap, to fold; to overstep, to exceed to a point"
nele,"transparent material/object, lack of privacy; clear, transparent, unobstructed; to make clear, to make transparent, to remove obstructions"
nimisin,"any non-pu word; any new word; any joke word"
nja,"meow, feline sound"
nowi,"to join, to add, to unite, to connect; to continue, to carry on, to perpetuate; connected, related, joined; complementary, mutual; exchange"
nu,"new"
nusun,"divination, astrology, fortune telling"
nuwa,"newer"
ojuta,"toki pona adaptation of English meme 'ligma'"
oki,"(acknowledgement or acceptance)"
okepuma,"boomer, Baby Boomer, inconsiderate elder; [interjection/insult]"
olala,"something 'oh là là'"
omekalike,"(proper name) a song by jan Usawi"
omekapo,"goodbye, farewell, see you later, eat a good fish"
omen,"sarcasm, irony"
opasan,"talented, brilliant, incredible, amazing, show stopping, spectacular, never the same, completely not ever been done before, totally unique, very very gay, opossum"
oni,"dream, daydream, imaginative play, vision, mystical state; to entrance"
owe,"Orwellian, totalitarian, of or relating to Big Brother (from 1984), antonym of kamalawala"
pa,"[interjection] bruh; expression of disbelief, exasperation, or excitement"
pakola,"pakala, as mispronounced by the Half as Interesting YouTube channel"
panke,"1. pan palisa Panke | 2. something typical of French culture | 3. calque-ing the French language when speaking toki pona."
pasila,"good, easy; simple, relaxed, peaceful, uncomplicated"
peta,"green, greenish; verdant, alive; ecofriendly"
penpo,"(tenpo pi) toki pona taso"
pika,"electric, electronic, conductive, mechanical, online; electricity, lightning, thunder, network"
pipo,"annoy, annoyance, bothersome, boring"
pipolo,"something that is supposed to be “kikolo” but isn't"
poni,"pony"
pulaso,"blue laso, blaso"
puwa,"fluffy, soft, squishy (something that can be compressed and will try to go back to its original shape)"
potato,"?"
saja,"trees, wood, order, taxonomies"
sulaso,"cyan laso, slaso"
sapelipope,"fiddlesticks!, damn"
sikako,"snail, gastropods, or “similar” animals"
sikomo,"on a higher tier/plane, enlighten(ed), epic; to an exceedingly great extent"
silapa,"giraffe; to make life even harder for sitelen pona font makers by introducing a vertically extendable glyph"
sipi,"ego, self, own"
sipije,"autistic, the autism creature"
sisi,"camelid, Jiji from Baba Is You"
siwala,"the quality of being outside of understanding but accepted as reality; the quality of being not wished to be understood by one for the benefits associated with not understanding; suspension of disbelief, willful ignorance"
slape,"[humorous synonym of lape]"
snoweli,"soweli, but made out of snow"
soni<br>(si),"alternate pronoun/determiner system, si can refer to the listener or things near them"
sowoli,"soweli, but owo"
su2,"(question particle)"
ta,"(preverb marker)"
tasun,"dachshund; amount of 'a' varies depending on physical length"
teken,"?"
ten,"(shortened variant of tenpo)"
tokana,"focus, attention, concentrate, resolution, fineness; focus on"
tona,"'poki tona' is a spoonerism of 'toki pona'"
topo,"cover, privacy"
waken,"wug, the plural of 'wug'"
wawajete,"something that appears to break the rules but doesn't; faux edginess, provocation"
we,"close friend"
we,"(acts as a transition from one complete sentence to another)"
wekama,"leave and come back, be temporarily absent with the expectation of returning"
wi,"we (excluding you, i.e. 1st person exclusive)"
wiju,"interacting with Weezer's Blue Album"
wiwi,"yes absolutely!, (strong) agreement, consent, to approve e &lt;something&gt;"
wiki,"fast, quick, quickly"
wuwojiti,"to use one or more of the 'banned' syllables wu, wo, ji, or ti; to break toki pona phonotactics"
wowujiti,"illegal syllables of toki pona"
yutu,"{on Discord} the star emoji used for the starboard (#pona-kulupu in ma pona)"
pokasi,"poggers"
kijesantakalu,"mispronounced kijetesantakalu"
kepa,"anything that pertains to patterns, orders, sequences, series, rhythms, arrangements, organization, and decluttering"
juna,"train, tram; tracked vehicle"
tejetekone,"computer"
an,"separates the object from the flobject"
